R02792	1.1.1.159	7alpha-hydroxysteroid dehydrogenase	1.1.1
R02793	1.1.1.176	12alpha-hydroxysteroid dehydrogenase	1.1.1
R02794	6.2.1.7	cholate---CoA ligase	6.2.1
R02797	3.5.1.24	choloylglycine hydrolase	3.5.1
R02799	1.1.1.188	prostaglandin-F synthase	1.1.1
R02800	1.1.1.196	15-hydroxyprostaglandin-D dehydrogenase (NADP+)	1.1.1
R02804	1.7.2.4	nitrous-oxide reductase	1.7.2
R02805	3.6.1.17	bis(5'-nucleosyl)-tetraphosphatase (asymmetrical)	3.6.1
R02807	1.16.1.1	mercury(II) reductase	1.16.1
R02810	1.11.1.8	iodide peroxidase	1.11.1
R02813	4.2.1.53	oleate hydratase	4.2.1
R02815	3.5.4.11	pterin deaminase	3.5.4
R02816	1.17.3.1	pteridine oxidase	1.17.3
R02817	3.1.4.13	serine-ethanolaminephosphate phosphodiesterase	3.1.4
R02821	2.1.1.5	betaine---homocysteine S-methyltransferase	2.1.1
R02824	1.8.4.2	protein-disulfide reductase (glutathione)	1.8.4
R02825	1.4.1.12	2,4-diaminopentanoate dehydrogenase	1.4.1
R02825	1.21.4.1	D-proline reductase	1.21.4
R02830	1.14.13.6	orcinol 2-monooxygenase	1.14.13
R02831	4.1.1.58	orsellinate decarboxylase	4.1.1
R02832	1.1.1.206	tropinone reductase I	1.1.1
R02834	1.1.1.-		1.1.1
R02836	1.1.1.146	11beta-hydroxysteroid dehydrogenase	1.1.1
R02837	2.3.1.27	cortisol O-acetyltransferase	2.3.1
R02839	2.8.2.18	cortisol sulfotransferase	2.8.2
R02840	1.1.1.145	3beta-hydroxy-Delta5-steroid dehydrogenase	1.1.1
R02840	5.3.3.1	steroid Delta-isomerase	5.3.3
R02841	1.3.1.3	Delta4-3-oxosteroid 5beta-reductase	1.3.1
R02846	4.4.1.9	L-3-cyanoalanine synthase	4.4.1
R02848	2.7.1.1	hexokinase	2.7.1
R02849	2.7.1.1	hexokinase	2.7.1
R02850	2.7.1.1	hexokinase	2.7.1
R02852	5.4.3.3	lysine 5,6-aminomutase	5.4.3
R02853	3.1.3.3	phosphoserine phosphatase	3.1.3
R02855	1.1.1.303	diacetyl reductase [(R)-acetoin forming]	1.1.1
R02857	3.8.1.3	haloacetate dehalogenase	3.8.1
R02858	2.1.1.101	macrocin O-methyltransferase	2.1.1
R02859	2.1.1.102	demethylmacrocin O-methyltransferase	2.1.1
R02862	2.1.1.87	pyridine N-methyltransferase	2.1.1
R02863	2.5.1.2	thiamine pyridinylase	2.5.1
R02864	4.99.1.4	sirohydrochlorin ferrochelatase	4.99.1
R02865	2.7.1.1	hexokinase	2.7.1
R02866	3.1.3.50	sorbitol-6-phosphatase	3.1.3
R02867	2.7.1.1	hexokinase	2.7.1
R02868	2.7.1.1	hexokinase	2.7.1
R02869	2.5.1.22	spermine synthase	2.5.1
R02872	1.3.1.96	Botryococcus squalene synthase	1.3.1
R02872	2.5.1.21	squalene synthase	2.5.1
R02875	4.2.1.123	tetrahymanol synthase	4.2.1
R02877	1.1.3.38	vanillyl-alcohol oxidase	1.1.3
R02878	1.1.1.1	alcohol dehydrogenase	1.1.1
R02878	1.1.1.73	octanol dehydrogenase	1.1.1
R02880	1.3.3.8	tetrahydroberberine oxidase	1.3.3
R02882	2.1.1.69	5-hydroxyfuranocoumarin 5-O-methyltransferase	2.1.1
R02886	3.2.1.91	cellulose 1,4-beta-cellobiosidase (non-reducing end)	3.2.1
R02892	1.3.1.22	3-oxo-5alpha-steroid 4-dehydrogenase (NADP+)	1.3.1
R02893	1.3.1.3	Delta4-3-oxosteroid 5beta-reductase	1.3.1
R02894	1.4.3.3	D-amino-acid oxidase	1.4.3
R02896	1.1.1.15	D-iditol 2-dehydrogenase	1.1.1
R02897	2.4.1.185	flavanone 7-O-beta-glucosyltransferase	2.4.1
R02898	5.5.1.6	chalcone isomerase	5.5.1
R02901	3.7.1.4	phloretin hydrolase	3.7.1
R02902	2.4.1.17	glucuronosyltransferase	2.4.1
R02906	1.1.1.252	tetrahydroxynaphthalene reductase	1.1.1
R02907	4.2.1.94	scytalone dehydratase	4.2.1
R02908	1.4.3.4	monoamine oxidase	1.4.3
R02909	1.13.11.52	indoleamine 2,3-dioxygenase	1.13.11
R02910	2.1.1.49	amine N-methyltransferase	2.1.1
R02911	2.3.1.87	aralkylamine N-acetyltransferase	2.3.1
R02912	2.1.1.-		2.1.1
R02914	4.2.1.49	urocanate hydratase	4.2.1
R02919	1.4.3.4	monoamine oxidase	1.4.3
R02920	2.1.1.6	catechol O-methyltransferase	2.1.1
R02921	2.7.7.40	D-ribitol-5-phosphate cytidylyltransferase	2.7.7
R02922	3.5.4.21	creatinine deaminase	3.5.4
R02923	1.4.3.3	D-amino-acid oxidase	1.4.3
R02925	1.1.99.21	D-sorbitol dehydrogenase (acceptor)	1.1.99
R02926	3.2.1.22	alpha-galactosidase	3.2.1
R02927	2.7.1.101	tagatose kinase	2.7.1
R02928	1.1.1.16	galactitol 2-dehydrogenase	1.1.1
R02929	6.3.1.6	glutamate---ethylamine ligase	6.3.1
R02930	3.5.1.65	theanine hydrolase	3.5.1
R02931	2.1.1.212	2,7,4'-trihydroxyisoflavanone 4'-O-methyltransferase	2.1.1
R02932	2.4.1.170	isoflavone 7-O-glucosyltransferase	2.4.1
R02933	3.1.1.17	gluconolactonase	3.1.1
R02933	3.1.1.25	1,4-lactonase	3.1.1
R02935	1.1.1.154	ureidoglycolate dehydrogenase	1.1.1
R02935	1.1.1.350	ureidoglycolate dehydrogenase (NAD+)	1.1.1
R02936	1.1.1.154	ureidoglycolate dehydrogenase	1.1.1
R02937	2.1.3.5	oxamate carbamoyltransferase	2.1.3
R02938	3.5.1.50	pentanamidase	3.5.1
R02940	1.2.1.3	aldehyde dehydrogenase (NAD+)	1.2.1
R02941	1.2.1.65	salicylaldehyde dehydrogenase	1.2.1
R02941	1.2.1.-		1.2.1
R02942	3.1.1.55	acetylsalicylate deacetylase	3.1.1
R02943	2.5.1.34	4-dimethylallyltryptophan synthase	2.5.1
R02944	1.1.1.198	(+)-borneol dehydrogenase	1.1.1
R02945	1.1.1.227	(-)-borneol dehydrogenase	1.1.1
R02946	1.1.1.4	(R,R)-butanediol dehydrogenase	1.1.1
R02948	4.1.1.5	acetolactate decarboxylase	4.1.1
R02949	5.1.2.4	acetoin racemase	5.1.2
R02950	1.14.18.1	tyrosinase	1.14.18
R02951	2.4.1.126	hydroxycinnamate 4-beta-glucosyltransferase	2.4.1
R02952	4.1.1.102	phenacrylate decarboxylase	4.1.1
R02954	1.3.1.46	biochanin-A reductase	1.3.1
R02955	2.8.3.11	citramalate CoA-transferase	2.8.3
R02957	1.2.1.3	aldehyde dehydrogenase (NAD+)	1.2.1
R02963	4.2.1.54	lactoyl-CoA dehydratase	4.2.1
R02968	1.14.12.12	naphthalene 1,2-dioxygenase	1.14.12
R02969	1.1.1.167	hydroxymalonate dehydrogenase	1.1.1
R02970	2.6.1.47	alanine---oxomalonate transaminase	2.6.1
R02971	2.7.1.33	pantothenate kinase	2.7.1
R02971	2.7.1.34	pantetheine kinase	2.7.1
R02972	4.1.1.30	pantothenoylcysteine decarboxylase	4.1.1
R02973	3.5.1.92	pantetheine hydrolase	3.5.1
R02974	3.5.4.24	sepiapterin deaminase	3.5.4
R02975	1.1.1.153	sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)	1.1.1
R02975	1.1.1.184	carbonyl reductase (NADPH)	1.1.1
R02976	2.7.1.91	sphingosine kinase	2.7.1
R02978	1.1.1.102	3-dehydrosphinganine reductase	1.1.1
R02979	1.3.99.-		1.3.99
R02982	2.1.1.70	8-hydroxyfuranocoumarin 8-O-methyltransferase	2.1.1
R02983	1.1.1.-		1.1.1
R02984	5.1.3.2	UDP-glucose 4-epimerase	5.1.3
R02985	3.2.1.21	beta-glucosidase	3.2.1
R02985	3.2.1.117	amygdalin beta-glucosidase	3.2.1
R02986	6.2.1.31	2-furoate---CoA ligase	6.2.1
R02988	1.3.1.32	maleylacetate reductase	1.3.1
R02989	1.3.1.32	maleylacetate reductase	1.3.1
R02990	2.8.3.6	3-oxoadipate CoA-transferase	2.8.3
R02991	3.1.1.24	3-oxoadipate enol-lactonase	3.1.1
R02992	3.1.1.27	4-pyridoxolactonase	3.1.1
R02994	1.1.1.241	6-endo-hydroxycineole dehydrogenase	1.1.1
R02995	1.14.13.51	6-oxocineole dehydrogenase	1.14.13
R02996	2.8.2.22	aryl-sulfate sulfotransferase	2.8.2
R02997	3.1.1.42	chlorogenate hydrolase	3.1.1
R02998	2.3.1.98	chlorogenate---glucarate O-hydroxycinnamoyltransferase	2.3.1
R02999	1.16.1.6	cyanocobalamin reductase (cyanide-eliminating)	1.16.1
R03001	2.6.1.41	D-methionine---pyruvate transaminase	2.6.1
R03004	3.6.1.9	nucleotide diphosphatase	3.6.1
R03004	3.6.1.22	NAD+ diphosphatase	3.6.1
R03005	2.7.7.1	nicotinamide-nucleotide adenylyltransferase	2.7.7
R03005	2.7.7.18	nicotinate-nucleotide adenylyltransferase	2.7.7
R03012	1.1.1.23	histidinol dehydrogenase	1.1.1
R03013	3.1.3.15	histidinol-phosphatase	3.1.3
R03014	2.7.1.5	rhamnulokinase	2.7.1
R03018	2.7.1.33	pantothenate kinase	2.7.1
R03021	1.1.1.98	(R)-2-hydroxy-fatty-acid dehydrogenase	1.1.1
R03022	1.1.1.99	(S)-2-hydroxy-fatty-acid dehydrogenase	1.1.1
R03023	1.14.13.29	4-nitrophenol 2-monooxygenase	1.14.13
R03024	3.1.3.1	alkaline phosphatase	3.1.3
R03024	3.1.3.2	acid phosphatase	3.1.3
R03024	3.1.3.41	4-nitrophenylphosphatase	3.1.3
R03025	1.12.98.1	coenzyme F420 hydrogenase	1.12.98
R03026	4.2.1.17	enoyl-CoA hydratase	4.2.1
R03027	4.2.1.55	3-hydroxybutyryl-CoA dehydratase	4.2.1
R03028	1.3.8.6	glutaryl-CoA dehydrogenase (ETF)	1.3.8
R03028	7.2.4.5	glutaconyl-CoA decarboxylase	7.2.4
R03030	4.3.1.14	3-aminobutyryl-CoA ammonia-lyase	4.3.1
R03031	5.3.3.3	vinylacetyl-CoA Delta-isomerase	5.3.3
R03032	4.2.1.5	arabinonate dehydratase	4.2.1
R03033	4.2.1.6	galactonate dehydratase	4.2.1
R03033	4.2.1.140	gluconate/galactonate dehydratase	4.2.1
R03034	3.1.1.25	1,4-lactonase	3.1.1
R03035	2.7.7.3	pantetheine-phosphate adenylyltransferase	2.7.7
R03036	3.6.1.9	nucleotide diphosphatase	3.6.1
R03037	3.3.2.1	isochorismatase	3.3.2
R03040	2.3.3.12	3-propylmalate synthase	2.3.3
R03043	1.1.1.150	21-hydroxysteroid dehydrogenase (NAD+)	1.1.1
R03044	1.1.1.151	21-hydroxysteroid dehydrogenase (NADP+)	1.1.1
R03045	4.2.1.17	enoyl-CoA hydratase	4.2.1
R03045	4.2.1.116	3-hydroxypropionyl-CoA dehydratase	4.2.1
R03045	4.2.1.-		4.2.1
R03046	4.3.1.6	beta-alanyl-CoA ammonia-lyase	4.3.1
R03048	1.1.1.315	11-cis-retinol dehydrogenase	1.1.1
R03048	1.1.1.-		1.1.1
R03049	3.1.1.63	11-cis-retinyl-palmitate hydrolase	3.1.1
R03050	2.2.1.6	acetolactate synthase	2.2.1
R03051	1.1.1.86	ketol-acid reductoisomerase (NADP+)	1.1.1
R03052	5.4.99.3	2-acetolactate mutase	5.4.99
R03053	2.6.1.67	2-aminohexanoate transaminase	2.6.1
R03054	1.1.1.195	cinnamyl-alcohol dehydrogenase	1.1.1
R03055	3.5.2.2	dihydropyrimidinase	3.5.2
R03056	2.3.1.59	gentamicin 2'-N-acetyltransferase	2.3.1
R03057	3.3.2.6	leukotriene-A4 hydrolase	3.3.2
R03058	1.13.11.34	arachidonate 5-lipoxygenase	1.13.11
R03059	4.4.1.20	leukotriene-C4 synthase	4.4.1
R03062	3.1.1.41	cephalosporin-C deacetylase	3.1.1
R03063	2.6.1.74	cephalosporin-C transaminase	2.6.1
R03064	2.3.1.175	deacetylcephalosporin-C acetyltransferase	2.3.1
R03065	2.3.1.28	chloramphenicol O-acetyltransferase	2.3.1
R03066	2.5.1.15	dihydropteroate synthase	2.5.1
R03067	2.5.1.15	dihydropteroate synthase	2.5.1
R03070	5.3.3.6	methylitaconate Delta-isomerase	5.3.3
R03072	2.5.1.38	isonocardicin synthase	2.5.1
R03073	5.1.1.14	nocardicin A epimerase	5.1.1
R03075	2.3.1.91	sinapoylglucose---choline O-sinapoyltransferase	2.3.1
R03077	2.7.7.64	UTP-monosaccharide-1-phosphate uridylyltransferase	2.7.7
R03080	1.1.1.77	lactaldehyde reductase	1.1.1
R03081	4.1.2.18	2-dehydro-3-deoxy-L-pentonate aldolase	4.1.2
R03083	4.2.3.4	3-dehydroquinate synthase	4.2.3
R03084	4.2.1.10	3-dehydroquinate dehydratase	4.2.1
R03088	1.14.14.1	unspecific monooxygenase	1.14.14
R03089	1.14.14.1	unspecific monooxygenase	1.14.14
R03090	1.14.14.1	unspecific monooxygenase	1.14.14
R03091	2.4.1.17	glucuronosyltransferase	2.4.1
R03093	3.5.5.1	nitrilase	3.5.5
R03094	2.4.1.121	indole-3-acetate beta-glucosyltransferase	2.4.1
R03095	6.3.2.20	indoleacetate---lysine synthetase	6.3.2
R03096	3.5.1.4	amidase	3.5.1
R03096	3.5.1.-		3.5.1
R03097	1.13.11.-		1.13.11
R03098	1.2.1.95	L-2-aminoadipate reductase	1.2.1
R03102	1.2.1.31	L-aminoadipate-semialdehyde dehydrogenase	1.2.1
R03103	1.2.1.31	L-aminoadipate-semialdehyde dehydrogenase	1.2.1
R03104	1.1.1.27	L-lactate dehydrogenase	1.1.1
R03111	2.1.1.110	sterigmatocystin 8-O-methyltransferase	2.1.1
R03112	2.1.1.109	demethylsterigmatocystin 6-O-methyltransferase	2.1.1
R03114	1.1.1.243	carveol dehydrogenase	1.1.1
R03119	1.1.1.202	1,3-propanediol dehydrogenase	1.1.1
R03123	1.1.1.219	dihydroflavonol 4-reductase	1.1.1
R03126	1.14.20.6	flavonol synthase	1.14.20
R03127	4.1.1.54	dihydroxyfumarate decarboxylase	4.1.1
R03130	2.1.1.4	acetylserotonin O-methyltransferase	2.1.1
R03131	2.5.1.53	uracilylalanine synthase	2.5.1
R03132	2.5.1.144	S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent)	2.5.1
R03133	2.5.1.50	zeatin 9-aminocarboxyethyltransferase	2.5.1
R03134	2.5.1.51	beta-pyrazolylalanine synthase	2.5.1
R03137	1.13.12.5	Renilla-type luciferase	1.13.12
R03138	2.8.2.10	Renilla-luciferin sulfotransferase	2.8.2
R03139	1.4.3.21	primary-amine oxidase	1.4.3
R03139	1.4.3.22	diamine oxidase	1.4.3
R03140	4.1.1.39	ribulose-bisphosphate carboxylase	4.1.1
R03148	2.7.1.62	phosphoramidate---hexose phosphotransferase	2.7.1
R03153	2.8.3.11	citramalate CoA-transferase	2.8.3
R03154	2.8.3.22	succinyl-CoA---L-malate CoA-transferase	2.8.3
R03155	1.1.1.168	2-dehydropantolactone reductase (Re-specific)	1.1.1
R03155	1.1.1.214	2-dehydropantolactone reductase (Si-specific)	1.1.1
R03155	1.1.1.358	2-dehydropantolactone reductase	1.1.1
R03157	6.2.1.-		6.2.1
R03158	3.1.2.4	3-hydroxyisobutyryl-CoA hydrolase	3.1.2
R03161	2.7.1.52	fucokinase	2.7.1
R03163	5.3.1.3	D-arabinose isomerase	5.3.1
R03163	5.3.1.25	L-fucose isomerase	5.3.1
R03165	4.2.1.75	uroporphyrinogen-III synthase	4.2.1
R03167	1.11.1.12	phospholipid-hydroperoxide glutathione peroxidase	1.11.1
R03168	2.3.1.102	N6-hydroxylysine N-acetyltransferase	2.3.1
R03171	1.2.1.25	branched-chain alpha-keto acid dehydrogenase system	1.2.1
R03172	1.3.8.1	short-chain acyl-CoA dehydrogenase	1.3.8
R03172	1.3.8.7	medium-chain acyl-CoA dehydrogenase	1.3.8
R03172	1.3.99.12	2-methylacyl-CoA dehydrogenase	1.3.99
R03176	1.1.1.145	3beta-hydroxy-Delta5-steroid dehydrogenase	1.1.1
R03177	1.2.1.54	gamma-guanidinobutyraldehyde dehydrogenase	1.2.1
R03178	4.1.1.75	5-guanidino-2-oxopentanoate decarboxylase	4.1.1
R03180	3.5.1.4	amidase	3.5.1
R03181	5.2.1.2	maleylacetoacetate isomerase	5.2.1
R03182	6.3.3.3	dethiobiotin synthase	6.3.3
R03183	1.1.1.20	glucuronolactone reductase	1.1.1
R03184	1.1.3.8	L-gulonolactone oxidase	1.1.3
R03187	3.5.2.14	N-methylhydantoinase (ATP-hydrolysing)	3.5.2
R03188	3.5.3.5	formimidoylaspartate deiminase	3.5.3
R03189	2.1.2.5	glutamate formimidoyltransferase	2.1.2
R03191	1.3.1.98	UDP-N-acetylmuramate dehydrogenase	1.3.1
R03192	1.3.1.98	UDP-N-acetylmuramate dehydrogenase	1.3.1
R03193	6.3.2.8	UDP-N-acetylmuramate---L-alanine ligase	6.3.2
R03194	2.1.1.107	uroporphyrinogen-III C-methyltransferase	2.1.1
R03197	4.1.1.37	uroporphyrinogen decarboxylase	4.1.1
R03198	1.2.1.33	(R)-dehydropantoate dehydrogenase	1.2.1
R03199	5.4.99.7	lanosterol synthase	5.4.99
R03200	5.4.99.8	cycloartenol synthase	5.4.99
R03202	1.5.3.5	(S)-6-hydroxynicotine oxidase	1.5.3
R03207	2.6.1.24	diiodotyrosine transaminase	2.6.1
R03208	1.11.1.8	iodide peroxidase	1.11.1
R03209	6.2.1.14	6-carboxyhexanoate---CoA ligase	6.2.1
R03210	2.3.1.47	8-amino-7-oxononanoate synthase	2.3.1
R03211	3.7.1.10	cyclohexane-1,3-dione hydrolase	3.7.1
R03213	2.4.1.195	N-hydroxythioamide S-beta-glucosyltransferase	2.4.1
R03214	2.8.2.24	aromatic desulfoglucosinolate sulfotransferase	2.8.2
R03216	3.1.6.11	disulfoglucosamine-6-sulfatase	3.1.6
R03217	2.5.1.48	cystathionine gamma-synthase	2.5.1
R03220	1.3.3.3	coproporphyrinogen oxidase	1.3.3
R03222	1.3.3.4	protoporphyrinogen oxidase	1.3.3
R03223	2.5.1.3	thiamine phosphate synthase	2.5.1
R03225	1.1.99.24	hydroxyacid-oxoacid transhydrogenase	1.1.99
R03226	1.1.1.147	16alpha-hydroxysteroid dehydrogenase	1.1.1
R03227	1.1.1.147	16alpha-hydroxysteroid dehydrogenase	1.1.1
R03228	5.1.99.2	16-hydroxysteroid epimerase	5.1.99
R03229	2.1.1.94	tabersonine 16-O-methyltransferase	2.1.1
R03231	2.6.1.62	adenosylmethionine---8-amino-7-oxononanoate transaminase	2.6.1
R03234	1.1.1.-		1.1.1
R03236	2.7.1.11	6-phosphofructokinase	2.7.1
R03236	2.7.1.56	1-phosphofructokinase	2.7.1
R03236	2.7.1.144	tagatose-6-phosphate kinase	2.7.1
R03237	2.7.1.11	6-phosphofructokinase	2.7.1
R03238	2.7.1.11	6-phosphofructokinase	2.7.1
R03239	2.7.1.11	6-phosphofructokinase	2.7.1
R03240	5.3.1.26	galactose-6-phosphate isomerase	5.3.1
R03241	2.7.1.51	L-fuculokinase	2.7.1
R03243	2.6.1.9	histidinol-phosphate transaminase	2.6.1
R03244	5.1.3.22	L-ribulose-5-phosphate 3-epimerase	5.1.3
R03245	2.7.4.2	phosphomevalonate kinase	2.7.4
R03246	1.13.11.35	pyrogallol 1,2-oxygenase	1.13.11
R03247	4.1.1.59	gallate decarboxylase	4.1.1
R03248	2.6.1.8	2,5-diaminovalerate transaminase	2.6.1
R03251	1.3.1.18	kynurenate-7,8-dihydrodiol dehydrogenase	1.3.1
R03253	1.13.11.10	7,8-dihydroxykynurenate 8,8a-dioxygenase	1.13.11
R03254	2.5.1.55	3-deoxy-8-phosphooctulonate synthase	2.5.1
R03256	3.2.1.85	6-phospho-beta-galactosidase	3.2.1
R03260	2.5.1.48	cystathionine gamma-synthase	2.5.1
R03261	1.1.1.223	isopiperitenol dehydrogenase	1.1.1
R03264	1.1.1.216	farnesol dehydrogenase (NADP+)	1.1.1
R03265	5.2.1.9	farnesol 2-isomerase	5.2.1
R03266	2.6.1.23	4-hydroxyglutamate transaminase	2.6.1
R03267	2.4.1.91	flavonol 3-O-glucosyltransferase	2.4.1
R03268	2.4.2.35	flavonol-3-O-glycoside xylosyltransferase	2.4.2
R03269	4.1.1.36	phosphopantothenoylcysteine decarboxylase	4.1.1
R03271	2.5.1.23	sym-norspermidine synthase	2.5.1
R03275	5.4.3.3	lysine 5,6-aminomutase	5.4.3
R03276	5.1.2.3	3-hydroxybutyryl-CoA epimerase	5.1.2
R03277	4.1.2.20	2-dehydro-3-deoxyglucarate aldolase	4.1.2
R03278	1.1.1.174	cyclohexane-1,2-diol dehydrogenase	1.1.1
R03279	1.1.1.174	cyclohexane-1,2-diol dehydrogenase	1.1.1
R03281	1.14.13.66	2-hydroxycyclohexanone 2-monooxygenase	1.14.13
R03283	1.2.1.3	aldehyde dehydrogenase (NAD+)	1.2.1
R03283	1.2.1.47	4-trimethylammoniobutyraldehyde dehydrogenase	1.2.1
R03284	4.1.2.-		4.1.2
R03286	6.3.2.11	carnosine synthase	6.3.2
R03288	3.4.13.5	Xaa-methyl-His dipeptidase	3.4.13
R03288	3.4.13.20	beta-Ala-His dipeptidase	3.4.13
R03289	2.8.2.28	quercetin-3,3'-bissulfate 7-sulfotransferase	2.8.2
R03290	1.1.1.104	4-oxoproline reductase	1.1.1
R03291	1.5.1.2	pyrroline-5-carboxylate reductase	1.5.1
R03292	1.1.1.104	4-oxoproline reductase	1.1.1
R03293	1.5.1.2	pyrroline-5-carboxylate reductase	1.5.1
R03296	5.1.1.8	4-hydroxyproline epimerase	5.1.1
R03297	2.4.1.136	gallate 1-beta-glucosyltransferase	2.4.1
R03298	6.5.1.9	cyclic 2,3-diphosphoglycerate synthase	6.5.1
R03299	1.14.14.9	4-hydroxyphenylacetate 3-monooxygenase	1.14.14
R03300	1.2.1.5	aldehyde dehydrogenase [NAD(P)+]	1.2.1
R03300	1.2.1.29	aryl-aldehyde dehydrogenase	1.2.1
R03302	1.2.1.5	aldehyde dehydrogenase [NAD(P)+]	1.2.1
R03303	1.13.11.15	3,4-dihydroxyphenylacetate 2,3-dioxygenase	1.13.11
R03304	2.1.1.6	catechol O-methyltransferase	2.1.1
R03306	1.14.12.9	4-chlorophenylacetate 3,4-dioxygenase	1.14.12
R03307	5.5.1.2	3-carboxy-cis,cis-muconate cycloisomerase	5.5.1
R03308	5.5.1.5	carboxy-cis,cis-muconate cyclase	5.5.1
R03313	1.2.1.41	glutamate-5-semialdehyde dehydrogenase	1.2.1
R03315	2.7.1.83	pseudouridine kinase	2.7.1
R03317	1.1.1.336	UDP-N-acetyl-D-mannosamine dehydrogenase	1.1.1
R03318	2.7.7.28	nucleoside-triphosphate-aldose-1-phosphate nucleotidyltransferase	2.7.7
R03319	5.4.2.2	phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)	5.4.2
R03321	5.3.1.9	glucose-6-phosphate isomerase	5.3.1
R03322	1.1.1.252	tetrahydroxynaphthalene reductase	1.1.1
R03323	2.3.1.92	sinapoylglucose---malate O-sinapoyltransferase	2.3.1
R03325	1.1.1.149	20alpha-hydroxysteroid dehydrogenase	1.1.1
R03327	1.1.1.145	3beta-hydroxy-Delta5-steroid dehydrogenase	1.1.1
R03327	5.3.3.1	steroid Delta-isomerase	5.3.3
R03330	3.1.3.64	phosphatidylinositol-3-phosphatase	3.1.3
R03331	3.1.4.43	glycerophosphoinositol inositolphosphodiesterase	3.1.4
R03332	3.1.4.3	phospholipase C	3.1.4
R03332	3.1.4.11	phosphoinositide phospholipase C	3.1.4
R03332	4.6.1.13	phosphatidylinositol diacylglycerol-lyase	4.6.1
R03333	3.1.4.43	glycerophosphoinositol inositolphosphodiesterase	3.1.4
R03337	1.1.1.110	aromatic 2-oxoacid reductase	1.1.1
R03337	1.1.1.237	hydroxyphenylpyruvate reductase	1.1.1
R03339	1.1.1.237	hydroxyphenylpyruvate reductase	1.1.1
R03341	4.1.1.80	4-hydroxyphenylpyruvate decarboxylase	4.1.1
R03342	5.3.2.1	phenylpyruvate tautomerase	5.3.2
R03344	1.14.13.8	flavin-containing monooxygenase	1.14.13
R03345	4.1.2.24	dimethylaniline-N-oxide aldolase	4.1.2
R03346	3.1.3.5	5'-nucleotidase	3.1.3
R03346	3.1.3.-		3.1.3
R03347	2.7.1.173	nicotinate riboside kinase	2.7.1
R03348	2.4.2.19	nicotinate-nucleotide diphosphorylase (carboxylating)	2.4.2
R03349	1.4.1.11	L-erythro-3,5-diaminohexanoate dehydrogenase	1.4.1
R03350	3.1.3.45	3-deoxy-manno-octulosonate-8-phosphatase	3.1.3
R03351	2.7.7.38	3-deoxy-manno-octulosonate cytidylyltransferase	2.7.7
R03352	3.1.2.4	3-hydroxyisobutyryl-CoA hydrolase	3.1.2
R03353	5.3.3.5	cholestenol Delta-isomerase	5.3.3
R03357	1.1.1.101	acylglycerone-phosphate reductase	1.1.1
R03358	4.2.1.87	octopamine dehydratase	4.2.1
R03359	4.2.1.88	synephrine dehydratase	4.2.1
R03365	1.13.11.22	caffeate 3,4-dioxygenase	1.13.11
R03366	2.1.1.68	caffeate O-methyltransferase	2.1.1
R03367	4.1.1.102	phenacrylate decarboxylase	4.1.1
R03369	1.14.13.4	melilotate 3-monooxygenase	1.14.13
R03371	3.1.3.8	3-phytase	3.1.3
R03371	3.1.3.62	multiple inositol-polyphosphate phosphatase	3.1.3
R03372	3.1.3.26	4-phytase	3.1.3
R03372	3.1.3.62	multiple inositol-polyphosphate phosphatase	3.1.3
R03373	1.1.1.237	hydroxyphenylpyruvate reductase	1.1.1
R03374	2.3.1.140	rosmarinate synthase	2.3.1
R03375	2.7.7.57	N-methylphosphoethanolamine cytidylyltransferase	2.7.7
R03378	2.7.1.81	hydroxylysine kinase	2.7.1
R03381	1.2.1.-		1.2.1
R03383	6.2.1.-		6.2.1
R03384	2.7.1.65	scyllo-inosamine 4-kinase	2.7.1
R03385	1.14.13.242	3-hydroxy-2-methylpyridine-5-carboxylate monooxygenase	1.14.13
R03386	1.14.13.242	3-hydroxy-2-methylpyridine-5-carboxylate monooxygenase	1.14.13
R03387	2.7.1.58	2-dehydro-3-deoxygalactonokinase	2.7.1
R03387	2.7.1.178	2-dehydro-3-deoxyglucono/galactono-kinase	2.7.1
R03388	1.5.1.47	dihydromethanopterin reductase [NAD(P)+]	1.5.1
R03390	2.3.1.101	formylmethanofuran---tetrahydromethanopterin N-formyltransferase	2.3.1
R03391	1.17.1.1	CDP-4-dehydro-6-deoxyglucose reductase	1.17.1
R03392	1.17.1.1	CDP-4-dehydro-6-deoxyglucose reductase	1.17.1
R03393	3.1.3.57	inositol-1,4-bisphosphate 1-phosphatase	3.1.3
R03394	3.1.3.56	inositol-polyphosphate 5-phosphatase	3.1.3
R03395	2.7.1.88	dihydrostreptomycin-6-phosphate 3'alpha-kinase	2.7.1
R03396	1.1.1.135	GDP-6-deoxy-D-talose 4-dehydrogenase	1.1.1
R03396	1.1.1.187	GDP-4-dehydro-D-rhamnose reductase	1.1.1
R03397	1.1.1.187	GDP-4-dehydro-D-rhamnose reductase	1.1.1
R03397	1.1.1.281	GDP-4-dehydro-6-deoxy-D-mannose reductase	1.1.1
R03398	1.1.1.135	GDP-6-deoxy-D-talose 4-dehydrogenase	1.1.1
R03398	1.1.1.187	GDP-4-dehydro-D-rhamnose reductase	1.1.1
R03399	1.1.1.187	GDP-4-dehydro-D-rhamnose reductase	1.1.1
